uid,cid,ref_diff,ref_len
2021214161,10,1560,791
2021214161,11,1260,222
2021214161,12,20040,214
2021214161,13,12360,207
2021214166,1,100800,231
2021214166,2,261240,169
2021214166,3,331740,204
2021214166,4,945720,193
2021214166,5,341460,178
2021214166,6,6122220,124
2021214166,7,5544420,133
2021214166,8,4335060,111
2021214166,9,3730680,134
2021214166,10,3126360,122
2021214166,10,3126600,186
2021214166,11,2522100,142
2021214166,12,1917660,180
2021214166,13,1313100,161
2021214167,1,226140,208
2021214167,2,162300,227
2021214167,3,158940,242
2021214167,4,61080,220
2021214167,5,274980,253
2021214167,6,152400,494
2021214167,7,66540,197
2021214167,7,1403580,263
2021214167,8,194460,245
2021214167,9,332040,275
2021214167,10,341640,235
2021214167,11,322800,180
2021214167,12,17460,142
2021214167,13,100140,124
2021214168,1,6487500,175
2021214168,2,5882760,130
2021214168,3,5278020,144
2021214168,4,7684440,165
2021214168,5,7079700,41
2021214168,6,6475080,239
2021214168,7,5870340,136
2021214168,7,5870400,110
2021214168,8,4660800,445
2021214168,10,3451320,801
2021214168,9,4056180,467
2021214168,13,1694640,201
2021214168,12,2299680,200
2021214169,2,229800,100
2021214169,3,229380,106
2021214169,4,253860,70
2021214169,5,447540,43
2021214169,6,585600,39
2021214169,7,1722960,26
2021214169,7,1723020,60
2021214169,8,513480,55
2021214169,9,792540,28
2021214169,10,187800,34
2021214169,11,598140,48
2021214169,12,495780,19
2021214170,1,752400,790
2021214170,2,1791900,128
2021214170,3,1187880,372
2021214170,4,584280,288
2021214170,5,6058260,870
2021214170,6,5456700,1140
2021214171,1,9240,81
2021214171,2,91200,157
2021214171,3,87720,64
2021214171,4,187680,140
2021214171,5,96480,158
2021214171,6,65640,145
2021214171,7,1392360,147
2021214171,8,963780,208
2021214171,9,937800,212
2021214171,10,336660,147
2021214171,11,915900,270
2021214171,12,312120,311
2021214171,13,160620,427
2021214172,2,248880,148
2021214172,3,252780,89
2021214172,4,249180,105
2021214172,5,600540,80
2021214172,6,5022600,34
2021214172,7,4420200,83
2021214172,8,3211860,66
2021214172,9,2608260,52
2021214172,10,2775000,85
2021214172,11,2170440,84
2021214172,12,1565820,59
2021214172,13,961140,42
2021214173,1,606120,319
2021214173,2,3180,343
2021214173,3,345840,274
2021214173,4,230580,435
2021214173,5,99720,289
2021214173,6,1957980,634
2021214173,7,1353300,989
2021214173,7,2572500,668
2021214173,8,1362900,950
2021214173,9,758100,777
2021214173,10,676440,424
2021214173,11,1648560,389
2021214173,12,1044000,273
2021214173,13,439560,536
2021214175,1,263700,172
2021214175,2,17640,219
2021214175,3,500520,235
2021214175,4,336900,304
2021214175,5,360360,326
2021214175,6,573120,477
2021214175,7,1392600,353
2021214175,7,1392600,424
2021214175,8,452160,387
2021214175,9,1139940,344
2021214175,11,713940,391
2021214175,12,147000,356
2021214175,13,155820,810
2021214178,1,184980,119
2021214178,2,587160,323
2021214178,3,262740,369
2021214178,4,249480,409
2021214178,5,2865120,337
2021214178,6,2260320,210
2021214179,1,5520,232
2021214179,2,12480,347
2021214179,3,61140,385
2021214179,4,170580,318
2021214179,5,75720,349
2021214179,6,66540,414
2021214179,7,98400,368
2021214179,7,1395180,294
2021214179,8,186120,266
2021214179,9,177840,267
2021214179,10,256020,164
2021214179,11,61140,245
2021214179,12,143700,289
2021214179,13,167760,247
2021214180,1,1231860,303
2021214180,0,0,263
2021214180,0,0,298
2021214180,2,1872960,397
2021214180,3,1268160,321
2021214180,4,663360,391
2021214180,5,61740,380
2021214180,0,0,287
2021214180,6,83040,747
2021214180,7,16320,336
2021214180,0,0,294
2021214180,7,1303200,379
2021214180,8,93600,590
2021214180,9,80580,400
2021214180,0,0,294
2021214180,10,58800,426
2021214180,0,0,366
2021214180,11,20820,424
2021214180,12,15960,441
2021214180,13,12240,435
2021214181,1,5400,211
2021214181,2,9360,270
2021214181,3,106620,542
2021214181,4,142080,377
2021214181,5,93000,150
2021214181,6,92820,203
2021214181,7,1356720,170
2021214181,7,1356780,78
2021214181,8,147180,129
2021214181,9,411360,165
2021214181,10,75060,174
2021214181,11,164220,124
2021214181,11,164220,124
2021214181,13,269220,96
2021214181,0,0,270
2021214182,1,624060,204
2021214182,2,19380,209
2021214182,3,146280,330
2021214182,4,154680,286
2021214182,5,341100,210
2021214182,6,620040,303
2021214182,7,1547280,229
2021214182,7,1547280,272
2021214182,8,366180,255
2021214182,9,888360,248
2021214182,10,284100,272
2021214182,11,1293240,219
2021214182,12,689760,211
2021214183,1,160560,251
2021214183,2,540060,175
2021214183,3,587460,202
2021214183,4,587880,179
2021214183,6,1976880,268
2021214183,5,2583000,349
