uid,vid,paused,skip_back,skip_forward,rate_change,watch_num
2020213352,11,3,0,0,0,1
2020213352,12,1,0,0,0,1
2020213352,13,0,0,0,0,1
2020213352,15,0,0,0,1,1
2020213352,16,0,0,0,1,1
2020213352,17,0,0,0,0,1
2020213352,18,5,0,0,0,1
2020213352,19,2,1,0,0,1
2020213352,20,2,0,0,0,1
2020213352,21,73,0,3,0,2
2020213352,22,44,0,0,0,1
2020213352,23,0,0,0,0,1
2020213353,1,0,0,1,2,1
2020213353,2,0,0,0,1,2
2020213353,3,0,0,0,1,1
2020213353,4,1,1,1,1,2
2020213353,5,0,0,0,2,1
2020213353,6,13,2,0,3,4
2020213353,7,1,1,1,7,3
2020213353,8,4,0,3,1,2
2020213353,10,9,3,6,0,1
2020213353,12,8,2,12,0,1
2020213353,14,6,5,16,0,1
2020213353,15,4,0,11,0,1
2020213353,16,0,0,0,0,1
2020213353,17,0,0,0,0,1
2020213353,18,4,2,9,0,1
2020213353,19,33,7,11,0,2
2020213353,20,0,0,1,0,1
2020213353,21,5,2,0,2,3
2020213353,22,17,8,2,0,2
2020213353,23,0,0,0,0,1
2020213354,1,13,8,0,0,1
2020213354,2,16,4,0,0,1
2020213354,3,19,5,1,0,1
2020213354,4,18,2,0,0,1
2020213354,5,9,3,0,0,1
2020213354,6,1,2,0,0,1
2020213354,7,4,6,1,0,1
2020213354,8,3,1,0,0,1
2020213354,9,0,4,0,0,1
2020213354,10,0,3,0,0,1
2020213354,11,8,14,5,0,1
2020213354,12,10,10,2,0,1
2020213354,13,0,0,0,0,1
2020213354,15,0,0,0,0,1
2020213354,16,0,0,0,0,1
2020213354,17,0,0,0,0,1
2020213354,18,0,0,0,0,1
2020213354,19,0,0,0,0,1
2020213354,20,0,0,0,0,1
2020213354,21,0,0,0,0,1
2020213354,22,0,0,0,0,1
2020213354,23,0,0,0,0,1
2020213355,1,1,0,0,1,1
2020213355,2,1,2,1,0,1
2020213355,3,0,0,0,0,1
2020213355,4,0,0,0,1,1
2020213355,5,0,0,0,1,2
2020213355,6,2,0,1,2,1
2020213355,7,0,0,0,1,1
2020213355,9,2,7,17,0,1
2020213355,12,0,0,0,0,1
2020213355,13,4,8,29,0,2
2020213355,15,0,0,0,2,1
2020213355,16,0,0,7,3,3
2020213355,18,0,0,0,1,1
2020213355,19,0,0,0,3,2
2020213355,20,0,0,0,2,1
2020213355,21,0,0,0,3,2
2020213355,22,3,0,0,4,1
2020213355,23,0,0,0,1,1
2020213369,1,6,2,0,0,1
2020213369,2,0,0,0,0,1
2020213369,3,4,0,0,0,1
2020213369,4,12,4,0,0,1
2020213369,5,3,1,0,0,1
2020213369,6,19,0,0,1,1
2020213369,7,1,0,0,0,1
2020213369,9,1,0,0,0,1
2020213369,11,0,0,0,1,1
2020213369,12,0,0,0,0,1
2020213369,13,0,0,0,0,1
2020213369,15,0,0,0,0,1
2020213369,16,0,0,0,0,1
2020213369,17,0,0,0,0,1
2020213369,18,0,0,0,0,1
2020213369,19,0,0,1,0,1
2020213369,20,0,0,0,0,1
2020213369,21,2,0,1,0,1
2020213369,22,0,0,0,0,1
2020213369,23,0,0,0,0,1
2020213375,1,0,0,0,0,1
2020213375,2,0,0,0,1,1
2020213375,3,0,0,0,1,1
2020213375,4,0,0,0,1,1
2020213375,5,0,0,0,2,1
2020213375,6,0,0,0,1,1
2020213375,7,0,0,0,1,1
2020213375,8,0,0,0,1,1
2020213375,9,0,0,0,1,1
2020213375,10,0,0,0,4,3
2020213375,11,0,0,0,1,1
2020213375,12,0,0,0,1,1
2020213375,13,0,0,0,1,1
2020213375,15,0,0,0,1,1
2020213375,16,0,0,0,1,1
2020213375,17,0,0,0,1,1
2020213375,18,0,0,0,1,1
2020213375,19,0,0,0,1,1
2020213375,20,0,0,0,1,1
2020213375,21,0,0,0,1,1
2020213375,22,0,0,0,1,1
2020213375,23,0,0,0,1,1
2020213380,1,5,2,0,0,1
2020213380,2,4,1,0,0,1
2020213380,3,1,1,0,0,1
2020213380,4,0,0,0,0,1
2020213380,5,8,0,0,0,1
2020213380,6,37,0,0,0,1
2020213380,7,0,0,0,0,1
2020213380,8,2,1,0,0,1
2020213380,9,1,0,0,0,1
2020213380,10,0,0,0,2,1
2020213380,11,3,5,0,0,1
2020213380,12,5,2,0,0,1
2020213380,13,0,0,0,2,1
2020213380,15,4,1,1,0,1
2020213380,16,8,7,0,0,1
2020213380,17,2,1,0,0,1
2020213380,18,4,3,0,0,1
2020213380,19,8,9,4,0,1
2020213380,20,2,1,0,0,1
2020213380,21,5,13,3,0,1
2020213380,22,2,9,0,0,1
2020213380,23,1,1,1,0,1
2020213381,1,6,3,3,0,1
2020213381,2,9,3,0,0,1
2020213381,3,4,1,0,0,1
2020213381,4,3,0,0,0,1
2020213381,5,1,0,0,0,1
2020213381,6,1,0,0,0,1
2020213381,7,0,0,0,0,1
2020213381,8,0,0,0,0,1
2020213381,9,0,0,0,0,1
2020213381,10,0,0,0,0,1
2020213381,11,0,0,0,0,1
2020213381,12,0,0,0,0,1
2020213381,13,2,0,0,0,1
2020213381,15,0,0,0,0,1
2020213381,17,0,0,0,0,1
2020213392,1,9,0,0,0,1
2020213392,2,1,1,1,0,1
2020213392,3,1,2,1,0,1
2020213392,4,2,4,1,0,1
2020213392,5,0,2,1,0,1
2020213392,6,22,1,0,1,1
2020213392,7,0,0,0,1,1
2020213392,8,1,0,6,0,1
2020213392,9,0,0,0,1,1
2020213392,10,0,1,3,0,1
2020213392,11,9,4,0,0,1
2020213392,12,12,21,4,0,1
2020213392,13,2,3,3,0,1
2020213392,15,0,0,0,1,1
2020213392,16,1,0,0,1,1
2020213392,17,0,0,0,1,1
2020213392,18,2,3,1,0,1
2020213392,19,1,1,5,3,2
2020213392,20,0,0,1,2,1
2020213392,22,2,0,0,1,1
2020213392,23,0,0,0,1,1
2020214470,2,18,1,0,2,1
2020214470,4,0,0,0,1,1
2020214470,5,1,0,0,1,1
2020214470,6,0,0,0,1,1
2020214470,7,0,0,0,1,1
2020214470,8,0,0,0,1,1
2020214470,9,0,0,0,1,1
2020214470,10,1,0,1,0,1
2020214470,11,2,0,0,0,1
2020214470,12,0,0,0,4,1
2020214470,13,0,0,0,2,2
2020214470,14,0,0,0,1,1
2020214470,15,0,0,0,2,1
2020214470,17,1,0,0,2,1
2020214470,18,2,0,0,0,1
2020214470,19,0,0,0,1,1
2020214470,20,0,0,0,2,1
2020214470,21,0,0,0,2,2
2020214470,22,0,0,0,1,1
2020214470,23,0,0,0,2,1
