,,event,position,timestamp,status,rate
138,0,0,0,1,1,1
138,1,1,19,20,0,1
138,2,0,19,50,1,1
138,3,1,110,141,0,1
138,4,0,110,236,1,1
138,5,1,168,294,0,1
138,6,0,168,306,1,1
138,7,1,177,315,0,1
138,8,0,177,317,1,1
138,9,2,203,348,1,1
138,10,1,205,350,0,1
138,11,0,205,364,1,1
138,12,2,222,389,1,1
138,13,1,222,391,0,1
138,14,0,222,408,1,1
138,15,1,223,409,0,1
138,16,0,223,500,1,1
138,17,1,227,504,0,1
138,18,0,227,509,1,1
138,19,1,246,528,0,1
138,20,0,246,656,1,1
138,21,2,263,682,1,1
138,22,2,265,700,1,1
138,23,1,267,704,0,1
138,24,0,267,713,1,1
138,25,1,268,714,0,1
138,26,0,268,732,1,1
138,27,1,270,734,0,1
138,28,0,270,744,1,1
138,29,2,279,758,1,1
138,30,2,303,787,1,1
138,31,2,326,816,1,1
138,32,1,327,817,0,1
138,33,0,327,879,1,1
138,34,1,370,922,0,1
138,35,0,370,985,1,1
139,0,0,0,1,1,1
139,1,2,39,45,1,1
139,2,1,40,46,0,1
139,3,0,40,76,1,1
139,4,1,49,85,0,1
139,5,0,49,111,1,1
139,6,1,91,153,0,1
139,7,0,91,205,1,1
139,8,2,149,271,1,1
139,9,1,149,273,0,1
139,10,0,149,2014,1,1
139,11,1,151,2016,0,1
139,12,0,151,2103,1,1
139,13,2,150,2107,1,1
139,14,1,151,2108,0,1
139,15,0,151,2189,1,1
139,16,1,157,2195,0,1
139,17,0,157,2198,1,1
139,18,1,214,2255,0,1
139,19,0,214,2306,1,1
139,20,2,227,2325,1,1
139,21,1,267,2365,0,1
139,22,0,267,2815,1,1
139,23,2,292,2850,1,1
140,0,0,0,2,1,1
140,1,1,468,466,0,1
140,2,0,468,530,1,1
140,3,1,576,638,0,1
140,4,0,576,702,1,1
141,0,0,0,1,1,1.0
141,1,4,13,15,1,2.0
142,0,0,0,1,1,1.0
142,1,4,11,13,1,2.0
143,0,0,0,1,1,1.0
143,1,4,9,11,1,2.0
144,0,0,0,1,1,1.0
144,1,4,4,6,1,2.0
145,0,0,0,1,1,1.0
145,1,4,3,5,1,2.0
146,0,0,0,1,1,1.0
146,1,4,3,5,1,2.0
147,0,0,0,1,1,1.0
147,1,4,2,4,1,2.0
148,0,0,0,1,1,1
149,0,0,0,1,1,1
150,0,0,0,1,1,1
151,0,0,0,2,1,1.0
151,1,4,29,32,1,2.0
153,0,0,0,1,1,1.0
153,1,4,2,4,1,2.0
154,0,0,0,1,1,1.0
154,1,4,5,7,1,2.0
155,0,0,0,1,1,1.0
155,1,4,7,9,1,2.0
156,0,0,0,1,1,1.0
156,1,4,4,6,1,2.0
157,0,0,0,0,1,1.0
157,1,4,0,1,1,2.0
158,0,0,0,1,1,1
158,1,1,396,393,0,1
158,2,0,396,756,1,1
159,0,0,0,1,1,1
159,1,3,272,4,1,1
